category,Stack No.,period,variable,unit,Sampling,value
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Gas Velocity,m/s,2020-04-03,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Flow rate,m3/min,2020-04-03,181.6666667
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Dust Emission Actual O2,mg/m3,2020-04-03,49.3
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Dust Emission rate,kg/hr,2020-04-03,0.53737
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Operation Hour,hr,2020-04-03,720.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Apr,Dust Emission,kg,2020-04-03,386.9064
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Stack Temperature,๐C,2020-04-03,130.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,%Oxygen,%,2020-04-03,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Gas Velocity,m/s,2020-04-03,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Flow rate,m3/min,2020-04-03,181.6666667
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Dust Emission Actual O2,mg/m3,2020-04-03,49.3
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Dust Emission rate,kg/hr,2020-04-03,0.53737
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Operation Hour,hr,2020-04-03,744.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",May,Dust Emission,kg,2020-04-03,399.80328
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Stack Temperature,๐C,2020-06-08,119.3
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,%Oxygen,%,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Gas Velocity,m/s,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Flow rate,m3/min,2020-06-08,181.6666667
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Dust Emission Actual O2,mg/m3,2020-06-08,44.8
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Dust Emission rate,kg/hr,2020-06-08,0.48832
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Operation Hour,hr,2020-06-08,720.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jun,Dust Emission,kg,2020-06-08,351.5904
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Stack Temperature,๐C,2020-06-08,119.3
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,%Oxygen,%,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Gas Velocity,m/s,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Flow rate,m3/min,2020-06-08,181.6666667
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Dust Emission Actual O2,mg/m3,2020-06-08,44.8
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Dust Emission rate,kg/hr,2020-06-08,0.48832
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Operation Hour,hr,2020-06-08,744.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Jul,Dust Emission,kg,2020-06-08,363.31008
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Stack Temperature,๐C,2020-06-08,119.3
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,%Oxygen,%,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Gas Velocity,m/s,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Flow rate,m3/min,2020-06-08,181.6666667
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Dust Emission Actual O2,mg/m3,2020-06-08,44.8
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Dust Emission rate,kg/hr,2020-06-08,0.48832
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Operation Hour,hr,2020-06-08,744.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Aug,Dust Emission,kg,2020-06-08,363.31008
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Stack Temperature,๐C,2020-06-08,119.3
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,%Oxygen,%,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Gas Velocity,m/s,2020-06-08,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Flow rate,m3/min,2020-06-08,181.6666667
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Dust Emission Actual O2,mg/m3,2020-06-08,44.8
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Dust Emission rate,kg/hr,2020-06-08,0.48832
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Operation Hour,hr,2020-06-08,720.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Sep,Dust Emission,kg,2020-06-08,351.5904
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Stack Temperature,๐C,2020-08-20,121.5
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,%Oxygen,%,2020-08-20,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Gas Velocity,m/s,2020-08-20,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Flow rate,m3/min,2020-08-20,154.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Dust Emission Actual O2,mg/m3,2020-08-20,45.1
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Dust Emission rate,kg/hr,2020-08-20,0.416724
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Operation Hour,hr,2020-08-20,744.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Oct,Dust Emission,kg,2020-08-20,310.042656
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Stack Temperature,๐C,2020-08-20,121.5
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,%Oxygen,%,2020-08-20,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Gas Velocity,m/s,2020-08-20,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Flow rate,m3/min,2020-08-20,154.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Dust Emission Actual O2,mg/m3,2020-08-20,45.1
